organismo,proveedor,monto,fecha_licitacion,fecha_adjudicacion,objeto_licitacion,estado,dias_adjudicacion
CENTRO DEPARTAMENTAL DE PAYSANDÚ,RIVERMIND S A,4614000.0,,2025-08-11,R/215123450013,ACTIVE,
INTENDENCIA DE MONTEVIDEO,TEIJON PLADA SANTIAGO,4317060.0,,2025-03-19,R/220091860013,ACTIVE,
INTENDENCIA DE MONTEVIDEO,C.U.T.C.S.A.,2181824.0,,2025-03-28,R/210002720019,ACTIVE,
DIRECCIÓN NACIONAL DE SANIDAD DE LAS FUERZAS ARMADAS,SACRIMAR S A,192780.0,,2025-09-22,R/212692440018,ACTIVE,
ADMINISTRACIÓN NACIONAL DE TELECOMUNICACIONES,,,,2025-05-22,,ACTIVE,
DIRECCIÓN NACIONAL DE VIALIDAD,DORNA S.A.,705600.0,,2025-05-13,R/211355680015,ACTIVE,
FISCALIA GENERAL DE LA NACIÓN,JUAN MANUEL CARDOZO DECUADRA,394500.0,,2025-12-15,R/150292910013,ACTIVE,
HOSPITAL MACIEL,SANQUILCO SOCIEDAD ANONIMA,43500.0,,2025-08-27,R/217009690015,ACTIVE,
CENTRO DEPARTAMENTAL DE PAYSANDÚ,PROMOTORA FARMACEUTICA SOCIEDAD DE RESPONSABILIDAD,1900000.0,,2025-08-26,R/211905380019,ACTIVE,
LABORATORIO QUÍMICO INDUSTRIAL FRANCISCO DORREGO,VANIPLACE SA,1761900.0,,2025-11-24,R/215292460016,ACTIVE,
CENTRO AUXILIAR DE RÍO BRANCO,POGGI CABRERA MARIELA ANDREA,810737703.0,,2025-03-25,R/215303600013,ACTIVE,
DIRECCIÓN GENERAL DE SERVICIOS GANADEROS,ROMANO SANCHEZ HENRY DANIFER,846721.0,,2025-03-30,R/190165050014,ACTIVE,
ADMINISTRACIÓN DE LAS OBRAS SANITARIAS DEL ESTADO,LIFIX S A,1.01851992e+16,,2025-01-17,R/211401540012,ACTIVE,
CENTRO DEPARTAMENTAL DE MALDONADO,TRANSPORTE INTEGRAL SA,13591.0,,2025-02-24,R/070000860019,ACTIVE,
CENTRO AUXILIAR DE PASO DE LOS TOROS,COOPERATIVA DR. CURI,125664400.0,,2025-03-27,R/190192570015,ACTIVE,
HOSPITAL DEL CERRO,MI PINTURERIA SOCIEDAD ANONIMA,360821.0,,2025-03-21,R/213941040016,ACTIVE,
INTENDENCIA DE MONTEVIDEO,VILLAMIL TESSA MARTIN GONZALO Y CELINTANO FERNANDEZ MARIA CARLA,850000.0,,2025-03-18,R/020591520014,ACTIVE,
CENTRO UNIVERSITARIO REGIONAL ESTE,FERNANDEZ NUÑEZ LUIS ALBERTO,8844262200000001.0,,2025-08-13,R/150092900014,ACTIVE,
FISCALIA GENERAL DE LA NACIÓN,MONTEMURRO PLOUVIER DIANA JACQUELINE,750000.0,,2025-03-12,R/216300590015,ACTIVE,
"INST.NAL.DONAC.YTRASP.CÉLULAS,TEJ.Y ORGANOS",ACQUEDUCT LTDA,165600.0,,2025-02-03,R/215525780018,ACTIVE,
PODER JUDICIAL,MAURO ANTONIO CALANDRA HERNÁNDEZ,23640000.0,,2025-06-12,C/15226900,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,GUERRERO LOPEZ NICOLAS JOSE,18750.0,,2025-07-15,R/060083250011,ACTIVE,
RED DE ATENCIÓN PRIMARIA DE FLORES,ROCHE INTERNATIONAL LTD,71000.0,,2025-05-27,R/210101830017,ACTIVE,
DIRECCIÓN GENERAL DE SECRETARÍA,YABRUM S.R.L.,58000.0,,2025-04-25,R/218618690013,ACTIVE,
JEFATURA DE POLICÍA DE SORIANO,FARFARANA VALIENTE GIORDANO GUZMAN,860656.0,,2025-10-28,R/180204390014,ACTIVE,
CONSEJO DE EDUCACIÓN INICIAL Y PRIMARIA,CHECHILE OUCHARENKO MARCELO VICENTE Y CHECHILE GERVAS NICOLAS FACUNDO,124605984.0,,2025-01-13,R/120342190017,ACTIVE,
DIRECCIÓN NACIONAL DE VIALIDAD,PINTUS S A,25050000.0,,2024-08-29,R/214157300016,ACTIVE,
"ADMINISTRACIÓN NACIONAL DE COMBUSTIBLE, ALCOHOL Y PORTLAND",MOODY'S INVESTORS SERVICE,3.977273e+16,,2025-03-20,X/USA13-1959883,ACTIVE,
INSTITUTO DEL NIÑO Y ADOLESCENTE DEL URUGUAY INAU,COOPERATIVA SOCIAL DAMA HEROICA,706725.0,,2025-09-30,R/120407730010,ACTIVE,
"ADMINISTRACIÓN NACIONAL DE COMBUSTIBLE, ALCOHOL Y PORTLAND",AMERICAN BUREAU OF SHIPPING,2944935.0,,2025-02-12,X/ARG30528795397,ACTIVE,
INSTITUTO NACIONAL DE INCLUSION SOCIAL ADOLESCENTE,COMPRASUY SAS,342000.0,,2025-11-19,R/219820630016,ACTIVE,
CENTRO DEPARTAMENTAL DE FLORES,S BIDEGAIN S A,81987182.0,,2025-11-07,R/210964560011,ACTIVE,
BANCO DE PREVISIÓN SOCIAL,OPTICA ITALIA S.A.S,77868852.0,,2025-03-25,R/120282580019,ACTIVE,
DIRECCIÓN NACIONAL DE TURISMO,TURISA SOCIEDAD ANONIMA,4450.0,,2025-03-19,R/213977190018,ACTIVE,
INTENDENCIA DE MONTEVIDEO,COOPERATIVA DE LAS ARTES DEL URUGUAY SUPLEMENTADA,215430.0,,2025-07-22,R/216822560010,ACTIVE,
DIRECCIÓN NACIONAL DE SANIDAD POLICIAL,JEFATURA DE POLICIA DE LAVALLEJA,5995616.0,,2025-08-31,T/04012,ACTIVE,
INSTITUTO DEL NIÑO Y ADOLESCENTE DEL URUGUAY INAU,BADAN PERRONE SERGIO JAVIER,6758856.0,,2025-02-13,R/150430330017,ACTIVE,
DIRECCIÓN GENERAL DE LA SALUD,DE CASTRO OJEDA GERMAN ANDRES,325950.0,,2025-12-10,R/217404050015,ACTIVE,
INTENDENCIA DE MONTEVIDEO,MIGUEL DA LUZ JAIME DANIEL,2060000.0,,2025-12-24,R/213111100016,ACTIVE,
INTENDENCIA DE MONTEVIDEO,BARRACA PANAMERICANA S A,1.5761e+16,,2025-11-18,R/213729280017,ACTIVE,
COMANDO GENERAL DEL EJÉRCITO,IUXTA S.R.L,65573796.0,,2025-10-01,R/217772990015,ACTIVE,
CONSEJO DE EDUCACIÓN TÉCNICO-PROFESIONAL,DIMANUR SOCIEDAD ANONIMA,39855.0,,2025-02-17,R/216658930019,ACTIVE,
CONSEJO DE EDUCACIÓN TÉCNICO-PROFESIONAL,SALOMONE DIAZ RUBEN CONO,56792950819.0,,2025-02-06,R/100337790015,ACTIVE,
CENTRO DE REHABILITACIÓN MÉDICO OCUPACIONAL Y SICOSOCIAL,BARBADOS S A,1.057856e+16,,2025-05-27,R/040099750014,ACTIVE,
RED DE ATENCIÓN PRIMARIA DE SALTO,MACHIAVELLO PANOZZO RICARDO JAVIER,11000.0,,2025-05-22,R/160208300015,ACTIVE,
HOSPITAL MACIEL,PAPELCUR SOCIEDAD ANONIMA,338170.0,,2025-01-17,R/214874940012,ACTIVE,
CENTRO UNIVERSITARIO REGIONAL LITORAL NORTE,A.N.E.P. -ADMINISTRACION NACIONAL DE EDUCACION PUBLICA -CENTRAL,1400000.0,,2024-10-30,R/212472100013,ACTIVE,
TRIBUNAL DE CUENTAS,CESPEDES ROCCA HECTOR JAVIER,672000.0,,2024-10-28,R/213758420018,ACTIVE,
INTENDENCIA DE MONTEVIDEO,NUEVA AVENTURA LTDA,660000.0,,2025-08-08,R/213712880016,ACTIVE,
CENTRO HOSPITALARIO PEREIRA ROSSELL,QUINQUIN S.R.L.,36000.0,,2025-06-16,R/215483080013,ACTIVE,
HOSPITAL MACIEL,MEGALABS URUGUAY S A,2340000.0,,2025-05-06,R/210231300018,ACTIVE,
INTENDENCIA DE PAYSANDÚ,ILUMINICA GROUP UY SRL,1411170.0,,2024-11-18,R/218699680013,ACTIVE,
"ADMINISTRACIÓN NACIONAL DE COMBUSTIBLE, ALCOHOL Y PORTLAND",LENGIO CORPORATION,2181818.0,,2025-08-29,X/USA46-305191,ACTIVE,
RED DE ATENCIÓN PRIMARIA DE RIVERA,DIAZ TRINDADE ADRIANA,1.5540161293000004e+16,,2025-03-17,R/140189320015,ACTIVE,
INSTITUTO NACIONAL DEL CÁNCER,FRACTAL SAS,68500.0,,2025-01-14,R/219372910010,ACTIVE,
DIRECCIÓN GENERAL DE LA SALUD,MURRY S A,24800.0,,2025-01-27,R/214843360014,ACTIVE,
CENTRO DEPARTAMENTAL DE FLORES,SAKIRA SOCIEDAD ANONIMA,849426.0,,2025-07-08,R/214058390017,ACTIVE,
SECRETARÍA DEL MINISTERIO DEL INTERIOR,BREGU S R L,36885246.0,,2025-01-01,R/214685780018,ACTIVE,
ADMINISTRACIÓN NACIONAL DE USINAS Y TRASMISIONES ELÉCTRICAS,ROJAS VELAZCO ALEXIS FERNANDO,5866620.0,,2025-03-07,R/100289060016,ACTIVE,
DIRECCIÓN NACIONAL DE CULTURA,BORSIL VIERA FERNANDO DARIO,1832750.0,,2025-12-11,R/080199390019,ACTIVE,
FACULTAD DE INFORMACIÓN Y COMUNICACIÓN,MUNDOMAC S.A,42690.0,,2025-06-06,R/213255850012,ACTIVE,
DIRECCIÓN GENERAL DE COORDINACIÓN,OPTICA AMERICANA S R L,1262545.0,,2025-11-17,R/210797190015,ACTIVE,
JUNTA DEPARTAMENTAL DE TREINTA Y TRES,TECHERA DE LUCA NATALIA,183590.0,,2025-09-15,R/200140860013,ACTIVE,
INTENDENCIA DE MONTEVIDEO,REY FERNANDEZ AGUSTINA,4570080.0,,2025-05-19,R/218466830012,ACTIVE,
INTENDENCIA DE MONTEVIDEO,CONFIR S A,2520.0,,2025-06-18,R/211463340017,ACTIVE,
BANCO DE LA REPÚBLICA DEL URUGUAY,DE LEON FONSECA PEDRO ANTONIO,474410.0,,2024-02-08,R/150406020011,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,LABORATORIOS CAILLON Y HAMONET S A C I,200000.0,,2025-07-30,R/210147350018,ACTIVE,
INTENDENCIA DE MONTEVIDEO,FROS MACEDO JUAN CARLOS,3000000.0,,2025-01-22,R/220044320016,ACTIVE,
SECRETARÍA DEL MINISTERIO DEL INTERIOR,UNION DE RUGBY DEL URUGUAY,25116300.0,,2025-02-11,R/214620850011,ACTIVE,
DIRECCIÓN NACIONAL DE SANIDAD DE LAS FUERZAS ARMADAS,CENTRO DPTAL. DE SALUD PUBLICA DE MALDONADO,800000.0,,2025-03-21,T/29023,ACTIVE,
INTENDENCIA DE CANELONES,,,,,COMPRA DIRECTA 1303/2025,,
CONSEJO DIRECTIVO CENTRAL,,,,,,UNSUCCESSFUL,
FACULTAD DE VETERINARIA,FUNDACION MARCO PODESTA,3000000.0,,2024-12-02,R/218067330016,ACTIVE,
JEFATURA DE POLICÍA DE MALDONADO,MGI SA,9545740000000002.0,,2025-07-31,R/215150470011,ACTIVE,
CENTRO AUXILIAR DE PANDO,NELSON ARCOS S A,16000.0,,2025-11-13,R/210969130015,ACTIVE,
DIRECCIÓN GENERAL DE SERVICIOS GANADEROS,MARRERO CABRERA VICTOR HORACIO,1.05614e+16,,2025-11-21,R/090158300012,ACTIVE,
INTENDENCIA DE FLORIDA,AFLECOM S A,204918033.0,,2025-04-30,R/210342210017,ACTIVE,
INTENDENCIA DE MONTEVIDEO,SARET VIDAL ANITA DAFNE,4330000.0,,2025-01-15,R/219433700010,ACTIVE,
PRESIDENCIA DE LA REPÚBLICA Y UNIDADES DEPENDIENTES,RODA LIMITADA,244176852.0,,2024-06-03,R/211203010017,ACTIVE,
BANCO DE LA REPÚBLICA DEL URUGUAY,FIELEX S A,93000.0,,2025-04-02,R/210109480015,ACTIVE,
JEFATURA DE POLICÍA DE PAYSANDÚ,SUANES ROTUNDO ANIBAL GUSTAVO,2.33155737e+16,,2025-01-09,R/120200740017,ACTIVE,
ADMINISTRACIÓN NACIONAL DE USINAS Y TRASMISIONES ELÉCTRICAS,MEGENKAR SA,225600.0,,2025-12-17,R/218322230018,ACTIVE,
BANCO DE PREVISIÓN SOCIAL,"GRILLO CRUZ BARTOLOME ANGEL, BONNEVAUX CASTILLO MARIA STELLA Y OTROS",1913120.0,,2025-11-06,R/210905410017,ACTIVE,
DIRECCIÓN NACIONAL DE VIALIDAD,ARMET S A,2037860.0,,2025-08-20,R/212415670019,ACTIVE,
DIRECCIÓN NACIONAL DE ADUANAS,AUDITOOL SAS,2970.0,,2025-01-27,N/900622534,ACTIVE,
CENTRO AUXILIAR DE GUICHÓN,AGENCIA CENTRAL S A,158472727.0,,2025-12-12,R/210237200015,ACTIVE,
CENTRO DEPARTAMENTAL DE FLORES,"MILNITSKI ZELMONOVICH JORGE MANUEL, ECHENIQUE FEBRERO MARIO ADRIAN Y OTROS",400000.0,,2025-12-03,R/214693710015,ACTIVE,
DIRECCIÓN GENERAL DE SECRETARÍA,COORDINADORA DE PSICOLOGOS DEL URUGUAY (C.P.U.),292000.0,,2025-04-04,R/215537660012,ACTIVE,
DIREC. GENERAL DE SECRETARÍA.,COORE MARZALEK LORENA MARELEN,1.49949538e+16,,2025-02-25,R/214138570011,ACTIVE,
CTRO INF.Y REF.NAL DE RED DROGAS,GARRIDO INSTALA SAS,1296000.0,,2025-06-17,R/217552420015,ACTIVE,
JEFATURA DE POLICÍA DE DURAZNO,CORDYSOL S A,5696721.0,,2025-11-10,R/050033980019,ACTIVE,
"ADMINISTRACIÓN NACIONAL DE COMBUSTIBLE, ALCOHOL Y PORTLAND",CURRUTACO SRL,6933000.0,,2025-02-10,R/214332480014,ACTIVE,
FISCALIA GENERAL DE LA NACIÓN,MORALES IBARRA CARLOS ALBERTO,60655732.0,,2025-12-04,R/190169550011,ACTIVE,
CONSEJO DE EDUCACIÓN TÉCNICO-PROFESIONAL,EL NACA S R L,630737705.0,,2025-01-13,R/200111790010,ACTIVE,
INTENDENCIA DE FLORIDA,OSCAR GERWER SANDLER,1639344262.0,,2025-05-20,C/11845916,ACTIVE,
CENTRO DEPARTAMENTAL DE ROCHA,PSICOAPRENDIZAJES SAS,107800.0,,2025-12-01,R/219620330019,ACTIVE,
DIRECCIÓN NACIONAL DE SANIDAD POLICIAL,JEFATURA DE POLICIA DE ROCHA,64002455.0,,2025-08-31,T/04017,ACTIVE,
CENTRO AUXILIAR DE ROSARIO,SIGHTECO S.A.S,770000.0,,2025-09-12,R/219203870011,ACTIVE,
DIRECCIÓN NACIONAL DE CULTURA,MARENGO PERALTA EDUARDO MARCELO,90000.0,,2025-04-07,R/215336790016,ACTIVE,
INTENDENCIA DE MONTEVIDEO,COOPERATIVA DE LAS ARTES DEL URUGUAY SUPLEMENTADA,277940.0,,2025-12-03,R/216822560010,ACTIVE,
INTENDENCIA DE FLORES,SAAVEDRA PINTOS SEBASTIAN NICOLAS,2.124592e+16,,2025-09-19,R/060094100016,ACTIVE,
INTENDENCIA DE MONTEVIDEO,COOPERATIVA SOCIAL SOL A SOL,65421720.0,,2025-04-01,R/217065740014,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,CORAZONADA SRL,79800.0,,2025-04-07,R/217407670014,ACTIVE,
INSTITUTO DEL NIÑO Y ADOLESCENTE DEL URUGUAY INAU,NETTO MONROY JESUS ALEJANDRO,8439345999999999.0,,2025-05-20,R/070266820019,ACTIVE,
INTENDENCIA DE CANELONES,,,2025-05-08,,COMPRA DIRECTA 655/2025,,
CONSEJO DE EDUCACIÓN TÉCNICO-PROFESIONAL,RIDALIN S.R.L.,1400000.0,,2025-10-24,R/216671580018,ACTIVE,
INTENDENCIA DE MONTEVIDEO,IFRAN GONZALEZ SOFIA VANESSA E IFRAN LIMA MIGUEL ANGEL,5965000.0,,2025-09-26,R/219327650013,ACTIVE,
HOSPITAL -CENTRO GERIÁTRICO DR. LUIS PIÑEIRO DEL CAMPO,ELECO S A,43000.0,,2025-06-24,R/211110890017,ACTIVE,
CENTRO AUXILIAR DE LAS PIEDRAS,ARLOMAR S A,1.2047999999999998e+16,,2025-01-30,R/211010960013,ACTIVE,
INTENDENCIA DE MONTEVIDEO,SEGUEZZA ALONSO JOAQUIN DAMIAN,3580000.0,,2025-09-10,R/219557720013,ACTIVE,
CENTRO DEPARTAMENTAL DE ROCHA,ZIGEL LIMITADA,101308728.0,,2025-06-07,R/213381630018,ACTIVE,
CENTRO AUXILIAR DE PASO DE LOS TOROS,PRADOS LABROT FERNANDO,44000000.0,,2025-04-10,R/050103960011,ACTIVE,
BANCO DE LA REPÚBLICA DEL URUGUAY,MERCADANTE RUIZ DIAZ CARLOS GREGORIO,402000.0,,2025-09-10,R/219439020011,ACTIVE,
SERVICIO NACIONAL DE SANGRE,HIGIA S R L,3520000.0,,2024-11-21,R/212316460016,ACTIVE,
RED DE ATENCIÓN PRIMARIA DE LAVALLEJA,ROMERO DE LA PEÑA MARCOS EMILIO,2424000.0,,2025-07-31,R/020204850015,ACTIVE,
DIRECCIÓN GENERAL DE SECRETARÍA,RUEDAS EL GAUCHO S R L,582636064.0,,2025-11-11,R/211171940014,ACTIVE,
CENTRO AUXILIAR DE BELLA UNIÓN,MEGALABS URUGUAY S A,1.141728e+16,,2025-08-08,R/210231300018,ACTIVE,
CENTRO DEPARTAMENTAL DE ROCHA,LABORATORIOS CELSIUS S A,2.07344e+16,,2025-01-22,R/210345980018,ACTIVE,
CONSEJO DIRECTIVO CENTRAL,FERRARI ALMADA ALVARO MARCELO,13934430.0,,2025-09-16,R/050210450017,ACTIVE,
ADMINISTRACIÓN DE SERVICIOS DE SALUD DEL ESTADO,FALCHI LIMITADA,2556513598.0,,2024-11-15,R/210921070012,ACTIVE,
DIREC. GENERAL DE SECRETARÍA.,LEPRATTI BURTRE ALBERTO Y LEPRATTI FROIDEVAUX OSCAR ALBERTO,2145328.0,,2025-07-14,R/180300120014,ACTIVE,
CENTRO DEPARTAMENTAL DE CANELONES,FARMACO URUGUAYO S.A.,285000.0,,2025-06-18,R/210577030019,ACTIVE,
FISCALIA GENERAL DE LA NACIÓN,ANDRADE VALDEZ ADRIANA SALOME,312000.0,,2025-12-19,R/110335400012,ACTIVE,
INTENDENCIA DE MONTEVIDEO,FABISOL SOCIEDAD ANONIMA,44000.0,,2023-03-30,R/214822710016,ACTIVE,
LABORATORIO QUÍMICO INDUSTRIAL FRANCISCO DORREGO,WILLIAMS Y CIA PRODUCTOS QUIMICOS S A,7060.0,,2025-02-21,R/210139650016,ACTIVE,
INSTITUTO NACIONAL DE COLONIZACIÓN,ROMALEND S A,,,2025-08-12,R/214176550014,ACTIVE,
CONSEJO DE EDUCACIÓN INICIAL Y PRIMARIA,LESTIDO SILVEIRA MARIO CARLOS,39300047136.0,,2025-10-22,R/212137270018,ACTIVE,
JEFATURA DE POLICÍA DE TACUAREMBÓ,CAORSI PEREIRA AMERICO,77124581.0,,2025-08-13,R/214568480018,ACTIVE,
CENTRO DEPARTAMENTAL DE ROCHA,PSICOAPRENDIZAJES SAS,10000.0,,2025-12-02,R/219620330019,ACTIVE,
CENTRO DEPARTAMENTAL DE ROCHA,FARMACO URUGUAYO S.A.,50000.0,,2025-08-01,R/210577030019,ACTIVE,
INTENDENCIA DE CANELONES,ASOCIACION CIVIL COOPERARE,30309511683.0,,2025-08-08,R/216311400018,ACTIVE,
PODER JUDICIAL,VALLE REMANSO S A,13408059.0,,2025-06-03,R/214858920010,ACTIVE,
JEFATURA DE POLICÍA DE FLORIDA,REICAR SA,1475305.0,,2025-07-11,R/215306360013,ACTIVE,
INTENDENCIA DE CANELONES,BERRANA LTDA,4692299530000001.0,,2025-12-19,R/214803890012,ACTIVE,
CENTRO HOSPITALARIO PEREIRA ROSSELL,SANQUILCO SOCIEDAD ANONIMA,68750.0,,2025-06-04,R/217009690015,ACTIVE,
INTENDENCIA DE MONTEVIDEO,LIMA LAMANNA LAURA ELIZABETH,1375815.0,,2025-02-05,R/215066530017,ACTIVE,
DIRECCIÓN GENERAL DE COORDINACIÓN,ALLO PARDO CARLA,3643909.0,,2025-09-30,R/216630270014,ACTIVE,
CENTRO DE REHABILITACIÓN MÉDICO OCUPACIONAL Y SICOSOCIAL,EUROPHOTO S A,347000.0,,2025-04-23,R/210824860012,ACTIVE,
CENTRO DEPARTAMENTAL DE FLORES,LABORATORIO ZURGEN S.R.L.,57500.0,,2025-12-01,R/216970420012,ACTIVE,
RED DE ATENCIÓN PRIMARIA DE RIVERA,RODRIGUEZ CERIANI GERARDO JAVIER,231970.0,,2025-09-15,R/140080550016,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,TPC S.A.,4500.0,,2025-06-02,R/214983730019,ACTIVE,
CENTRO DEPARTAMENTAL DE ROCHA,BLAUFARMA URUGUAY SA,504000.0,,2025-01-17,R/214737290016,ACTIVE,
UNIVERSIDAD TECNOLÓGICA DEL URUGUAY,UNIVERSIDAD AUTÓNOMA DE BARCELONA,26555574.0,,2025-07-01,X/ESPESQ0818002H,ACTIVE,
ADMINISTRACIÓN DE LAS OBRAS SANITARIAS DEL ESTADO,PORTAL ODALOS SANTIAGO,23662868.0,,2025-01-02,R/218434530013,ACTIVE,
DIREC. GENERAL DE SECRETARÍA.,BONILLA GRAF ANGEL MARIA,2363636.0,,2025-10-20,R/180091230017,ACTIVE,
INTENDENCIA DE FLORIDA,ALOY RODRIGUEZ RODOLFO DANIEL,4426229508.0,,2021-11-15,R/070075510015,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,VIMAX S A,13500.0,,2025-08-26,R/210350650012,ACTIVE,
JEFATURA DE POLICÍA DE MALDONADO,POLAKOF Y CIA SOCIEDAD ANONIMA,210656.0,,2025-05-28,R/100004430014,ACTIVE,
CENTRO DEPARTAMENTAL DE FLORES,G3 HEALTH SRL,108900.0,,2025-09-03,R/218378310017,ACTIVE,
DIRECCIÓN NACIONAL DE VIALIDAD,FIDOBAL SOCIEDAD ANONIMA,,,2025-10-15,R/215078980012,ACTIVE,
DIRECCIÓN GENERAL DE LA SALUD,LA SOCIEDAD HOSPITAL BRITANICO EN EL URUGUAY,2000000.0,,2025-01-24,R/210267830017,ACTIVE,
INTENDENCIA DE MONTEVIDEO,ASETTEX SRL,1415400.0,,2025-05-16,R/215508490015,ACTIVE,
"ADMINISTRACIÓN NACIONAL DE COMBUSTIBLE, ALCOHOL Y PORTLAND",BLOCK CONSTRUCCIONES SRL,9099000.0,,2025-11-07,R/218282260019,ACTIVE,
DIRECCIÓN GENERAL DE LA SALUD,DEFILAN SOCIEDAD ANONIMA,161581818.0,,2025-01-31,R/214821660015,ACTIVE,
UNIVERSIDAD TECNOLÓGICA DEL URUGUAY,DA SILVA MACHADO ROGELIO,100293485.0,,2025-10-14,R/140104370012,ACTIVE,
DIRECCIÓN DE DESARROLLO SOCIAL,MERCADO INSTALADOR S A,1834426.0,,2025-11-11,R/214073020012,ACTIVE,
CENTRO DEPARTAMENTAL DE RIVERA,JIKI S.A.,40000.0,,2025-09-12,R/210974820016,ACTIVE,
INTENDENCIA DE MONTEVIDEO,OBRAS CIVILES Y SUMINISTROS SAS,3560.0,,2025-01-03,R/219306700011,ACTIVE,
DIRECCIÓN GENERAL DE SECRETARÍA,,,2025-11-17,,COMPRA DIRECTA 10192/2025,,
INSTITUTO NACIONAL DE REHABILITACIÓN,CORTIMETAL S.A.S.,368000.0,,2025-12-09,R/218828270010,ACTIVE,
DIRECCIÓN GENERAL DE SECRETARÍA,FIA ALBERTO,44000.0,,2025-02-26,R/150363410018,ACTIVE,
RED DE ATENCIÓN PRIMARIA DE RIVERA,FARMACO URUGUAYO S.A.,1161200.0,,2025-09-19,R/210577030019,ACTIVE,
DIRECCIÓN GENERAL DE SECRETARÍA,MONTEGHIRFO GIMENEZ SABRINA,29000.0,,2025-01-02,R/151046390015,ACTIVE,
DIRECCIÓN NACIONAL DE POLICÍA CIENTÍFICA,BIKO SA,100320.0,,2025-05-21,R/215550120018,ACTIVE,
INTENDENCIA DE MONTEVIDEO,INFOTECH LTDA,39600.0,,2025-12-05,R/212493840016,ACTIVE,
CENTRO DEPARTAMENTAL DE SALTO,GANCEDO CHAVES ANTONIO OMAR,573770492.0,,2025-01-31,R/010070180013,ACTIVE,
CONSEJO DIRECTIVO CENTRAL,FERNANDEZ PATRON ALBERTO FABRICIO,1516000.0,,2025-06-17,R/090273510016,ACTIVE,
DIRECCIÓN GENERAL DE LA SALUD,QUESMY SA,84364500.0,,2025-02-25,R/217560690018,ACTIVE,
JEFATURA DE POLICÍA DE SAN JOSÉ,NESTOR PEREZ S.R.L.,34426229.0,,2025-10-09,R/170133000017,ACTIVE,
DIRECCIÓN GENERAL DE COORDINACIÓN,CERVIÑO PEREIRA MATIAS GERMAN,40000.0,,2025-12-22,R/217291050015,ACTIVE,
ADMINISTRACIÓN NACIONAL DE TELECOMUNICACIONES,,,,2025-01-17,,ACTIVE,
"ADMINISTRACIÓN NACIONAL DE COMBUSTIBLE, ALCOHOL Y PORTLAND",SCHNEIDER ELECTRIC SYSTEMS ARGENTINA S.A.,1459296.0,,2025-04-30,X/ARG30 71088274 2,ACTIVE,
RED DE ATENCIÓN PRIMARIA DE PAYSANDÚ,FORTALEZA SEGURIDAD SAS,1456819668.0,,2025-01-30,R/120172440018,ACTIVE,
JEFATURA DE POLICÍA DE COLONIA,BEIN ROSTAGNOL MIRELA MELIS,45000.0,,2025-04-28,R/040135360012,ACTIVE,
"ADMINISTRACIÓN NACIONAL DE COMBUSTIBLE, ALCOHOL Y PORTLAND",LIFISOL S.A.,129250.0,,2025-02-14,R/217460750019,ACTIVE,
CONSEJO DE EDUCACIÓN TÉCNICO-PROFESIONAL,CONSTRUYENDO CAMINOS SAS,9762893449.0,,2025-08-14,R/219335420013,ACTIVE,
JEFATURA DE POLICÍA DE COLONIA,DELGA-REP SOCIEDAD ANONIMA,472379.0,,2025-12-08,R/215293590010,ACTIVE,
UNIVERSIDAD TECNOLÓGICA DEL URUGUAY,"MONDRAGON GOI ESKOLA A POLITEKNIKOA J.M.A., S.COOP",139040.0,,2025-12-02,X/ESPF20045241,ACTIVE,
JEFATURA DE POLICÍA DE SAN JOSÉ,GARCIA GARCIA GUSTAVO DANIEL,2414427.0,,2025-10-13,R/150441280016,ACTIVE,
CONSEJO DE EDUCACIÓN INICIAL Y PRIMARIA,DLONER SOCIEDAD ANONIMA,49500.0,,2025-12-29,R/217737720015,ACTIVE,
CENTRO DEPARTAMENTAL DE MALDONADO,CAYON FLEITAS ANA PATRICIA,13460.0,,2025-10-01,R/214330590017,ACTIVE,
MINISTERIO DE RELACIONES EXTERIORES,UNIVERSIDAD DE LA REPUBLICA (OFICINAS CENTRALES),499500.0,,2025-02-24,T/26001,ACTIVE,
JEFATURA DE POLICÍA DE RIVERA,CTHA RIVERA S.R.L,1773361.0,,2025-09-30,R/140260500017,ACTIVE,
JEFATURA DE POLICÍA DE FLORES,NEUMATICOS JUAN Y JULIAN SAS,1.155738e+16,,2025-12-02,R/219841000011,ACTIVE,
UNIVERSIDAD TECNOLÓGICA DEL URUGUAY,ASANA INC.,211008.0,,2025-04-08,G/263912448,ACTIVE,
INTENDENCIA DE FLORIDA,LAMAITA VAZQUEZ MARTINIANO,3850000.0,,2025-03-31,R/150678670016,ACTIVE,
JEFATURA DE POLICÍA DE MONTEVIDEO,CAURLA - HUERTAS S R L,1.81148e+16,,2025-03-20,R/213276520011,ACTIVE,
OFICINAS CENTRALES Y ESCUELAS DEPENDIENTES DE RECTORADO,PRAVIA KIESEVICH FERNANDO,1252459.0,,2025-03-18,R/020411710014,ACTIVE,
INTENDENCIA DE MONTEVIDEO,MENDOZA GUTIERREZ RIOMAR,3580000.0,,2025-09-30,R/219421670014,ACTIVE,
